               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.042053,            0.046806,           0.0094231,             0.83695,             0.83529,             0.88713,             0.57965,            0.036323,            0.029202,           0.0033192,           0.0051914,           0.0051914,           0.0051914
                  36,            0.040393,            0.048078,           0.0084703,             0.85095,             0.82949,             0.89574,             0.59704,            0.035616,            0.028887,           0.0033047,             0.00505,             0.00505,             0.00505
                  37,            0.041022,            0.055042,           0.0084859,             0.82226,             0.82294,             0.88805,             0.56296,            0.038014,            0.029199,           0.0032823,           0.0049086,           0.0049086,           0.0049086
                  38,            0.038354,            0.047516,           0.0067796,             0.88747,             0.80374,             0.89538,              0.6056,            0.034971,            0.028561,           0.0031903,           0.0047671,           0.0047671,           0.0047671
                  39,            0.041206,            0.047263,            0.009002,             0.90433,             0.81454,             0.90074,             0.61683,            0.034313,            0.027658,           0.0031395,           0.0046257,           0.0046257,           0.0046257
                  40,            0.039405,            0.048901,           0.0081172,             0.89266,             0.82234,             0.90387,             0.61438,             0.03451,            0.027215,           0.0030759,           0.0044843,           0.0044843,           0.0044843
                  41,            0.039541,            0.048757,           0.0083481,             0.90116,             0.82212,             0.90406,             0.62183,            0.033998,            0.026865,            0.002976,           0.0043429,           0.0043429,           0.0043429
                  42,            0.039831,            0.047674,           0.0070128,              0.8815,             0.83528,             0.89323,             0.61082,             0.03435,            0.027039,           0.0028964,           0.0042014,           0.0042014,           0.0042014
                  43,            0.038369,            0.045801,           0.0078184,              0.9004,             0.82695,             0.90384,             0.61825,             0.03356,            0.026907,           0.0028409,             0.00406,             0.00406,             0.00406
                  44,            0.037272,            0.045088,           0.0078593,             0.88896,              0.8218,             0.89316,             0.61992,            0.034164,            0.026764,           0.0027912,           0.0039186,           0.0039186,           0.0039186
                  45,            0.038382,            0.044352,           0.0085322,             0.90672,             0.83005,             0.90349,             0.63165,            0.033242,            0.026651,           0.0027576,           0.0037771,           0.0037771,           0.0037771
                  46,            0.038653,            0.044227,           0.0074639,             0.90447,             0.83415,             0.90265,             0.63244,            0.032999,            0.026342,            0.002714,           0.0036357,           0.0036357,           0.0036357
                  47,            0.035926,            0.040582,             0.00761,             0.89644,             0.83942,             0.90807,             0.63835,            0.032369,            0.026096,           0.0026655,           0.0034943,           0.0034943,           0.0034943
                  48,            0.035687,            0.048431,           0.0074479,             0.90866,             0.83431,             0.90824,             0.64712,            0.032132,             0.02614,           0.0025955,           0.0033529,           0.0033529,           0.0033529
                  49,            0.037072,            0.045564,           0.0078062,             0.90021,             0.85085,             0.91612,             0.64277,            0.032482,             0.02621,           0.0025702,           0.0032114,           0.0032114,           0.0032114
                  50,            0.037471,            0.042291,           0.0080149,              0.9108,             0.84106,             0.91285,             0.65847,            0.031942,            0.026031,           0.0025585,             0.00307,             0.00307,             0.00307
                  51,            0.036592,            0.050568,           0.0064814,              0.9234,             0.84771,             0.91911,             0.66861,            0.031584,             0.02563,           0.0025561,           0.0029286,           0.0029286,           0.0029286
                  52,            0.036775,            0.050129,           0.0066707,             0.90643,             0.84909,             0.91799,             0.65319,            0.032738,            0.025467,            0.002522,           0.0027871,           0.0027871,           0.0027871
                  53,             0.03706,            0.045393,            0.007353,             0.87396,             0.88857,             0.92468,             0.67488,            0.031007,            0.024936,           0.0024728,           0.0026457,           0.0026457,           0.0026457
                  54,            0.036099,            0.041879,           0.0069364,             0.90082,             0.85825,             0.91268,             0.65516,            0.031692,             0.02494,           0.0024658,           0.0025043,           0.0025043,           0.0025043
                  55,            0.036518,            0.040119,           0.0078546,             0.88524,             0.86005,             0.91448,             0.67636,            0.030393,            0.024837,            0.002474,           0.0023629,           0.0023629,           0.0023629
                  56,            0.035775,            0.042433,           0.0059959,             0.88898,             0.85597,             0.92042,              0.6837,             0.03004,             0.02458,           0.0024818,           0.0022214,           0.0022214,           0.0022214
                  57,            0.035505,            0.046819,           0.0072066,             0.88969,             0.88084,             0.92598,             0.68238,            0.030117,            0.024605,           0.0024829,             0.00208,             0.00208,             0.00208
                  58,            0.036495,            0.044183,           0.0075715,             0.88251,             0.88101,             0.92106,             0.68295,            0.030421,            0.024628,           0.0024657,           0.0019386,           0.0019386,           0.0019386
                  59,            0.034561,            0.044387,           0.0067437,             0.88481,             0.88134,             0.92439,             0.69104,            0.029919,            0.024624,           0.0024515,           0.0017971,           0.0017971,           0.0017971
                  60,            0.034186,            0.040482,           0.0070122,             0.87835,             0.87329,             0.92122,             0.68892,            0.029715,            0.024495,           0.0024432,           0.0016557,           0.0016557,           0.0016557
                  61,            0.035067,            0.042858,           0.0072611,             0.87919,             0.88995,             0.92681,             0.69522,             0.02938,            0.024379,           0.0024322,           0.0015143,           0.0015143,           0.0015143
                  62,            0.035008,             0.04447,           0.0064014,             0.87932,             0.88785,             0.92311,             0.68463,            0.029582,            0.024371,           0.0024293,           0.0013729,           0.0013729,           0.0013729
                  63,            0.034436,            0.046551,           0.0064504,             0.89469,             0.87689,              0.9266,             0.68958,            0.029096,            0.024229,           0.0024044,           0.0012314,           0.0012314,           0.0012314
                  64,            0.036045,            0.048187,           0.0068453,             0.89908,             0.87863,             0.92881,              0.6925,            0.029035,            0.024156,           0.0023986,             0.00109,             0.00109,             0.00109
                  65,            0.036031,            0.044885,           0.0068048,             0.87573,             0.89857,             0.92826,             0.69835,            0.028638,            0.023991,           0.0023735,          0.00094857,          0.00094857,          0.00094857
                  66,            0.032512,            0.039706,           0.0065631,             0.87886,             0.89595,             0.92465,             0.69974,            0.028553,            0.023884,           0.0023652,          0.00080714,          0.00080714,          0.00080714
                  67,            0.032364,             0.04248,           0.0057589,             0.87925,             0.89226,             0.92774,             0.70602,            0.028407,            0.023785,             0.00236,          0.00066571,          0.00066571,          0.00066571
                  68,            0.033532,            0.041978,           0.0062533,             0.88248,             0.88747,             0.92834,             0.70522,            0.028385,            0.023714,           0.0023463,          0.00052429,          0.00052429,          0.00052429
                  69,             0.03444,            0.040841,           0.0072079,             0.88193,             0.88565,             0.92609,             0.70978,            0.028176,            0.023555,            0.002334,          0.00038286,          0.00038286,          0.00038286
